SUBMIT$7353043851214733312$EC73BD2504030074$REALTIME$TIME:20250807071828,gw:farm,3004:55,4042:1,4030:1,4031:0,4032:0.00,4033:0,2603:0.00000000,2602:0.00000000,2204:0,3012:0,3013:0,3014:20250807071828,3015:0,3016:56,4014:99,4430:0,2601:1,3019:0,4403:1,4404:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7353043931116220416$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720691,2602:118.95732061,3012:59,3013:90,3014:20250807071838,3015:17,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043931120414720$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720695,2602:118.95732061,3012:350,3013:90,3014:20250807071839,3015:17,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043931124609024$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720690,2602:118.95732066,3012:167,3013:90,3014:20250807071840,3015:17,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043931128803328$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732063,3012:156,3013:90,3014:20250807071841,3015:17,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043931132997632$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720695,2602:118.95732063,3012:81,3013:90,3014:20250807071842,3015:17,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043931137191936$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720691,2602:118.95732065,3012:90,3013:90,3014:20250807071843,3015:17,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043931141386240$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732065,3012:17,3013:90,3014:20250807071844,3015:17,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043931145580544$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732068,3012:50,3013:90,3014:20250807071845,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043931149774848$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732070,3012:14,3013:90,3014:20250807071846,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043931153969152$EC73BD2504030074$REALTIME$TIME:20250807071847,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720691,2602:118.95732068,3012:343,3013:90,3014:20250807071847,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043973143146496$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720696,2602:118.95732063,3012:64,3013:90,3014:20250807071848,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043973147340800$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720691,2602:118.95732066,3012:94,3013:90,3014:20250807071849,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043973151535104$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720698,2602:118.95732066,3012:15,3013:90,3014:20250807071850,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043973155729408$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732065,3012:316,3013:90,3014:20250807071851,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043973159923712$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720690,2602:118.95732066,3012:211,3013:90,3014:20250807071852,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043973164118016$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720695,2602:118.95732071,3012:11,3013:90,3014:20250807071853,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043973168312320$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720693,2602:118.95732068,3012:348,3013:90,3014:20250807071854,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353043973172506624$EC73BD2504030074$REALTIME$TIME:20250807071857,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10720695,2602:118.95732070,3012:349,3013:90,3014:20250807071855,3015:21,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
