SUBMIT$7385323754907656192$EC73BD2506050018$REALTIME$TIME:20251104090717,gw:farm,3004:55,4042:1,4030:1,4031:0,4032:0.20,4033:6,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,2603:22.54082890,2602:107.79342390,2204:0,3012:80,3013:96,3014:20251104090717,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:1,4404:5,4040:0,4041:0,4043:0,4044:1
SUBMIT$7385323792861908992$EC73BD2506050018$REALTIME$TIME:20251104090726,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342385,3012:26,3013:96,3014:20251104090718,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323792866103296$EC73BD2506050018$REALTIME$TIME:20251104090726,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082888,2602:107.79342386,3012:23,3013:96,3014:20251104090719,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323792870297600$EC73BD2506050018$REALTIME$TIME:20251104090726,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342388,3012:75,3013:96,3014:20251104090720,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323792874491904$EC73BD2506050018$REALTIME$TIME:20251104090726,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342385,3012:350,3013:96,3014:20251104090721,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323792878686208$EC73BD2506050018$REALTIME$TIME:20251104090726,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342388,3012:87,3013:96,3014:20251104090722,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323792882880512$EC73BD2506050018$REALTIME$TIME:20251104090726,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082888,2602:107.79342390,3012:101,3013:96,3014:20251104090723,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323792887074816$EC73BD2506050018$REALTIME$TIME:20251104090726,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342388,3012:76,3013:96,3014:20251104090724,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323792891269120$EC73BD2506050018$REALTIME$TIME:20251104090726,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082888,2602:107.79342386,3012:275,3013:96,3014:20251104090725,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323792895463424$EC73BD2506050018$REALTIME$TIME:20251104090726,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342385,3012:290,3013:96,3014:20251104090726,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385323835048210432$EC73BD2506050018$REALTIME$TIME:20251104090736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.00,4033:0,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54082890,2602:107.79342383,3012:17,3013:96,3014:20251104090727,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
