SUBMIT$7318350011618983936$NJ4GBQSAX0000687$REALTIME$TIME:20250503133732,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.00,4033:0,2204:10.9,2603:28.8453790,2602:113.2050090,3012:236,3013:56,3014:20250503133731,3015:12,3016:12,4014:1,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7318350054027587584$NJ4GBQSAX0000687$REALTIME$TIME:20250503133742,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.55,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.3,2603:28.8453620,2602:113.2049820,3012:235,3013:56,3014:20250503133732,3015:12,3016:11,4014:1,2601:0,3019:0
SUBMIT$7318350054031781888$NJ4GBQSAX0000687$REALTIME$TIME:20250503133742,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.55,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.3,2603:28.8453530,2602:113.2049800,3012:234,3013:50,3014:20250503133733,3015:13,3016:11,4014:1,2601:0,3019:0
SUBMIT$7318350054035976192$NJ4GBQSAX0000687$REALTIME$TIME:20250503133742,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.55,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.8,2603:28.8453370,2602:113.2049590,3012:234,3013:48,3014:20250503133734,3015:13,3016:10,4014:1,2601:0,3019:0
SUBMIT$7318350054040170496$NJ4GBQSAX0000687$REALTIME$TIME:20250503133742,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.55,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8453200,2602:113.2049350,3012:236,3013:47,3014:20250503133735,3015:13,3016:10,4014:1,2601:0,3019:0
SUBMIT$7318350054048559104$NJ4GBQSAX0000687$REALTIME$TIME:20250503133742,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.55,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8453030,2602:113.2049110,3012:233,3013:47,3014:20250503133736,3015:13,3016:10,4014:1,2601:0,3019:0
SUBMIT$7318350054052753408$NJ4GBQSAX0000687$REALTIME$TIME:20250503133742,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.55,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8452840,2602:113.2048880,3012:229,3013:46,3014:20250503133737,3015:13,3016:10,4014:1,2601:0,3019:0
SUBMIT$7318350054056947712$NJ4GBQSAX0000687$REALTIME$TIME:20250503133742,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.55,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8452430,2602:113.2048430,3012:226,3013:46,3014:20250503133739,3015:13,3016:10,4014:1,2601:0,3019:0
SUBMIT$7318350054061142016$NJ4GBQSAX0000687$REALTIME$TIME:20250503133742,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.55,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.6,2603:28.8452240,2602:113.2048180,3012:228,3013:45,3014:20250503133740,3015:13,3016:10,4014:1,2601:0,3019:0
SUBMIT$7318350096700420096$NJ4GBQSAX0000687$REALTIME$TIME:20250503133753,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.69,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.5,2603:28.8452050,2602:113.2047940,3012:229,3013:45,3014:20250503133741,3015:13,3016:11,4014:1,2601:0,3019:0
SUBMIT$7318350096704614400$NJ4GBQSAX0000687$REALTIME$TIME:20250503133753,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:216.69,4033:1875,4040:0,4041:0,4043:0,4044:1,2204:11.7,2603:28.8451850,2602:113.2047720,3012:227,3013:44,3014:20250503133742,3015:14,3016:11,4014:1,2601:0,3019:0
