SUBMIT$7320461393185366016$NJ4GNBSAX0000693$REALTIME$TIME:20250509092725,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.00,4033:0,2204:3.7,2603:28.7015220,2602:113.0613520,3012:220,3013:83,3014:20250509092721,3015:19,3016:12,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7320461437020041216$NJ4GNBSAX0000693$REALTIME$TIME:20250509092735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:28.7015140,2602:113.0613450,3012:219,3013:83,3014:20250509092722,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461437028429824$NJ4GNBSAX0000693$REALTIME$TIME:20250509092735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:28.7014990,2602:113.0613320,3012:218,3013:83,3014:20250509092724,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461437032624128$NJ4GNBSAX0000693$REALTIME$TIME:20250509092735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:2.2,2603:28.7014950,2602:113.0613280,3012:219,3013:83,3014:20250509092725,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461437036818432$NJ4GNBSAX0000693$REALTIME$TIME:20250509092735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.7014950,2602:113.0613270,3012:0,3013:83,3014:20250509092726,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461437041012736$NJ4GNBSAX0000693$REALTIME$TIME:20250509092735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:28.7014940,2602:113.0613270,3012:0,3013:83,3014:20250509092727,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461437045207040$NJ4GNBSAX0000693$REALTIME$TIME:20250509092735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:0.7,2603:28.7014930,2602:113.0613250,3012:0,3013:83,3014:20250509092729,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461437049401344$NJ4GNBSAX0000693$REALTIME$TIME:20250509092735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.03,4033:0,4040:0,4041:0,4043:0,4044:1,2204:5.4,2603:28.7014810,2602:113.0613160,3012:0,3013:83,3014:20250509092730,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461481018277888$NJ4GNBSAX0000693$REALTIME$TIME:20250509092746,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.12,4033:0,4040:0,4041:0,4043:0,4044:1,2204:6.4,2603:28.7014690,2602:113.0613050,3012:0,3013:83,3014:20250509092731,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461481022472192$NJ4GNBSAX0000693$REALTIME$TIME:20250509092746,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.12,4033:0,4040:0,4041:0,4043:0,4044:1,2204:7.5,2603:28.7014390,2602:113.0612780,3012:218,3013:83,3014:20250509092733,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461481026666496$NJ4GNBSAX0000693$REALTIME$TIME:20250509092746,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.12,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.2,2603:28.7014230,2602:113.0612640,3012:218,3013:83,3014:20250509092734,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461481030860800$NJ4GNBSAX0000693$REALTIME$TIME:20250509092746,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.12,4033:0,4040:0,4041:0,4043:0,4044:1,2204:8.6,2603:28.7014060,2602:113.0612490,3012:217,3013:83,3014:20250509092735,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461481035055104$NJ4GNBSAX0000693$REALTIME$TIME:20250509092746,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.12,4033:0,4040:0,4041:0,4043:0,4044:1,2204:7.5,2603:28.7013910,2602:113.0612360,3012:216,3013:83,3014:20250509092736,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461481039249408$NJ4GNBSAX0000693$REALTIME$TIME:20250509092746,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.12,4033:0,4040:0,4041:0,4043:0,4044:1,2204:5.8,2603:28.7013790,2602:113.0612260,3012:216,3013:83,3014:20250509092737,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320461481043443712$NJ4GNBSAX0000693$REALTIME$TIME:20250509092746,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.12,4033:0,4040:0,4041:0,4043:0,4044:1,2204:5.9,2603:28.7013670,2602:113.0612160,3012:216,3013:83,3014:20250509092738,3015:20,3016:12,4014:0,2601:0,3019:0
